N,P,K,temperature,humidity,ph,label
90,42,43,20.87974371,82.00274423,6.502985292,rice
85,58,41,21.77046169,80.31964408,7.038096361,rice
60,55,44,23.00445915,82.3207629,7.840207144,rice
74,35,40,26.49109635,80.15836264,6.980400905,rice
78,42,42,20.13017482,81.60487287,7.628472891,rice
69,37,42,23.05804872,83.37011772,7.073453503,rice
69,55,38,22.70883798,82.63941394,5.70080568,rice
94,53,40,20.27774362,82.89408619,5.718627178,rice
89,54,38,24.51588066,83.5352163,6.685346424,rice
68,58,38,23.22397386,83.03322691,6.336253525,rice
91,53,40,26.52723513,81.41753846,5.386167788,rice
90,46,42,23.97898217,81.45061596,7.50283396,rice
78,58,44,26.80079604,80.88684822,5.108681786,rice
93,56,36,24.01497622,82.05687182,6.98435366,rice
94,50,37,25.66585205,80.66385045,6.94801983,rice
60,48,39,24.28209415,80.30025587,7.042299069,rice
85,38,41,21.58711777,82.7883708,6.249050656,rice
91,35,39,23.79391957,80.41817957,6.970859754,rice
77,38,36,21.8652524,80.1923008,5.953933276,rice
88,35,40,23.57943626,83.58760316,5.85393208,rice
89,45,36,21.32504158,80.47476396,6.442475375,rice
76,40,43,25.15745531,83.11713476,5.070175667,rice
67,59,41,21.94766735,80.97384195,6.012632591,rice
83,41,43,21.0525355,82.67839517,6.254028451,rice
98,47,37,23.48381344,81.33265073,7.375482851,rice
66,53,41,25.0756354,80.52389148,7.778915154,rice
97,59,43,26.35927159,84.04403589,6.286500176,rice
97,50,41,24.52922681,80.54498576,7.070959995,rice
60,49,44,20.77576147,84.49774397,6.244841491,rice
84,51,35,22.30157427,80.64416466,6.043304899,rice
73,57,41,21.44653958,84.94375962,5.824709117,rice
92,35,40,22.17931888,80.33127223,6.357389366,rice
85,37,39,24.52783742,82.73685569,6.364134968,rice
98,53,38,20.26707606,81.63895217,5.01450727,rice
88,54,44,25.7354293,83.88266234,6.149410611,rice
95,55,42,26.79533926,82.1480873,5.950660556,rice
99,57,35,26.75754171,81.17734011,5.960370061,rice
95,39,36,23.86330467,83.15250801,5.561398642,rice
60,43,44,21.01944696,82.95221726,7.416245107,rice
63,44,41,24.17298839,83.7287574,5.583370042,rice
62,42,36,22.78133816,82.06719137,6.430010215,rice
64,45,43,25.62980105,83.52842314,5.534878156,rice
83,60,36,25.59704938,80.14509262,6.903985986,rice
82,40,40,23.83067496,84.81360127,6.271478838,rice
85,52,45,26.31355498,82.36698992,7.224285503,rice
91,35,38,24.8972823,80.52586088,6.13428721,rice
76,49,42,24.958779,84.47963372,5.206373153,rice
74,39,38,23.24113501,84.59201843,7.782051313,rice
79,43,39,21.66628296,80.70960551,7.062779015,rice
88,55,45,24.63544858,80.41363018,7.730367824,rice
60,36,43,23.43121862,83.06310136,5.286203711,rice
76,60,39,20.0454142,80.3477562,6.766240045,rice
93,56,42,23.85724032,82.22572988,7.382762603,rice
65,60,43,21.97199397,81.89918197,5.658169482,rice
95,52,36,26.22916897,83.83625819,5.543360238,rice
75,38,39,23.44676801,84.79352417,6.215109715,rice
74,54,38,25.65553461,83.47021081,7.120272972,rice
91,36,45,24.44345477,82.45432595,5.950647577,rice
71,46,40,20.2801937,82.1235421,7.236705436,rice
99,55,35,21.7238313,80.2389895,6.501697816,rice
72,40,38,20.41447029,82.20802629,7.592490617,rice
83,58,45,25.75528612,83.51827127,5.875345751,rice
93,58,38,20.61521424,83.77345559,6.932400225,rice
70,36,42,21.84106875,80.72886384,6.946209881,rice
76,47,42,20.08369642,83.29114712,5.739175027,rice
99,41,36,24.45802087,82.74835604,6.738652179,rice
99,54,37,21.14347496,80.33502926,5.594819626,rice
86,59,35,25.78720567,82.11124033,6.946636369,rice
69,46,41,23.64124821,80.28597873,5.012139669,rice
91,56,37,23.43191632,80.56887849,6.363472208,rice
61,52,41,24.97669518,83.891805,6.880431223,rice
67,45,38,22.72791041,82.1706881,7.300410836,rice
79,42,37,24.87300744,82.84022551,6.587918708,rice
78,43,42,21.32376327,83.00320459,7.283736617,rice
75,54,36,26.29465461,84.56919326,7.023936392,rice
97,36,45,22.2286982,81.85872947,6.939083505,rice
67,47,44,26.73072391,81.78596776,7.868474653,rice
73,35,38,24.88921174,81.97927117,5.005306977,rice
77,36,37,26.88444878,81.46033732,6.136131869,rice
81,41,38,22.67846116,83.72874389,7.524080076,rice
68,57,43,26.08867875,80.37979919,5.706943251,rice
72,45,35,25.42977518,82.94682591,5.758506323,rice
61,53,43,26.40323239,81.05635517,6.349606327,rice
67,43,39,26.04371967,84.96907151,5.999969026,rice
67,58,39,25.2827223,80.54372813,5.453592032,rice
66,60,38,22.08576562,83.47038318,6.372576327,rice
82,43,38,23.28617173,81.43321641,5.105588355,rice
84,50,44,25.48591986,81.40633547,5.935344406,rice
81,53,42,23.67575393,81.03569343,5.17782304,rice
91,50,40,20.82477109,84.1341879,6.462391607,rice
93,53,38,26.92995077,81.91411159,7.069172227,rice
90,44,38,23.83509503,83.88387074,7.473134377,rice
81,45,35,26.52872817,80.12267476,6.158376967,rice
78,40,38,26.46428311,83.85642678,7.549873681,rice
60,51,36,22.69657794,82.81088865,6.028321558,rice
88,46,42,22.68319059,83.46358271,6.604993475,rice
93,47,37,21.53346343,82.14004101,6.500343222,rice
60,55,45,21.40865769,83.3293191,5.935745417,rice
78,35,44,26.54348085,84.67353597,7.072655622,rice
65,37,40,23.35905428,83.59512273,5.333322606,rice
71,54,16,22.61359953,63.69070564,5.749914421,maize
61,44,17,26.10018422,71.57476937,6.931756558,maize
80,43,16,23.55882094,71.59351368,6.657964753,maize
73,58,21,19.97215954,57.68272924,6.596060648,maize
61,38,20,18.47891261,62.69503871,5.970458434,maize
68,41,16,21.77689322,57.80840636,6.158830619,maize
93,41,17,25.6217169,66.50415474,6.047906679,maize
89,60,19,25.19192419,66.6902901,5.913664501,maize
76,44,17,20.41683147,62.5542482,5.855442401,maize
67,60,25,24.92162194,66.78627406,5.750254943,maize
70,44,19,23.31689124,73.4541537,5.852607099,maize
90,49,21,24.84016732,68.3584573,6.472523287,maize
62,52,16,22.27526694,58.84015925,6.967057762,maize
92,44,16,18.87751445,65.76816093,6.082973754,maize
66,54,21,25.19008683,60.2001687,5.919045532,maize
63,58,22,18.25405352,55.28220433,6.204747653,maize
70,47,17,24.6129118,70.4162444,6.600827017,maize
61,41,17,25.1420613,65.26185135,6.021902237,maize
66,53,19,23.09348056,60.1159381,6.033550195,maize
74,55,19,18.05033737,62.89366992,6.28886807,maize
77,57,21,24.9321581,73.80435276,6.550563823,maize
99,50,15,18.14710054,71.09445342,5.573286437,maize
74,56,22,18.28362235,66.65952796,6.829199275,maize
83,45,21,18.83344471,58.75082029,5.716222912,maize
100,48,16,25.71895816,67.22190688,5.54990242,maize
79,51,16,25.33797709,68.49835977,6.586244581,maize
94,39,18,23.89114571,57.48775781,5.893093135,maize
75,49,15,21.53574127,71.50905983,5.918263801,maize
78,48,22,23.08974909,63.10459626,5.588650585,maize
87,54,20,25.61707368,63.4711755,6.576418207,maize
87,35,25,21.44526922,63.1621551,6.178056304,maize
63,43,19,18.51816776,55.53128131,6.641906353,maize
84,57,25,22.53510514,67.99257471,6.489040367,maize
64,35,23,23.02038334,61.89472002,5.680361038,maize
60,46,22,24.89364635,65.61418761,6.625404348,maize
98,44,21,25.77175115,74.089114,6.524478032,maize
75,56,18,19.39851734,62.35750641,5.696205468,maize
86,55,21,21.54156232,59.64024162,6.803931519,maize
98,35,18,23.79746068,74.82913698,6.252797548,maize
76,57,18,18.9802729,74.52600826,6.092725883,maize
99,56,17,24.10859207,73.13112261,6.234330356,maize
60,44,23,24.7947077,70.04556743,5.722579819,maize
74,48,17,21.63162756,60.27766379,6.430616465,maize
89,60,17,25.37548751,57.21025565,5.983952675,maize
69,51,23,22.21738222,72.85462807,6.80163854,maize
96,46,22,20.58314011,69.00128641,6.499936446,maize
61,60,15,24.87502824,68.74248334,6.265564338,maize
74,58,18,20.03728219,56.35606753,6.727303282,maize
74,43,23,25.95263264,61.89082199,6.325235159,maize
63,43,17,19.28889933,65.47050802,6.807487794,maize
99,36,20,20.57981887,65.34583901,6.671085817,maize
77,36,23,24.71417533,56.73426469,6.648725327,maize
87,60,23,20.27317074,63.91281869,6.439071996,maize
60,38,17,18.41932981,64.23580251,6.474476516,maize
94,54,17,23.39128187,61.74427165,5.871647806,maize
95,38,22,19.84939404,61.24500053,5.730617109,maize
84,44,21,21.869274,61.91044947,5.850439831,maize
77,58,19,22.8056033,56.50768935,5.791649933,maize
66,44,20,19.0781471,69.02298571,6.740000688,maize
63,35,16,22.02720976,65.35549924,6.272417541,maize
79,45,20,23.80546189,59.24537979,5.715208817,maize
72,60,25,18.52510753,69.0276233,5.773454729,maize
67,51,24,23.50297882,61.32026065,5.584171461,maize
86,36,24,26.54986394,72.89187265,5.787268394,maize
76,48,18,19.29563411,69.63481219,5.77597783,maize
75,53,18,20.68899915,59.4375337,6.864793607,maize
81,45,23,19.32666088,68.034493,6.192360003,maize
73,45,21,24.60532218,73.58868502,6.636803223,maize
71,35,24,22.27373646,59.52193158,5.826426917,maize
96,54,22,25.70196694,61.33450447,6.960358276,maize
99,39,18,19.20129357,68.30578978,6.11275104,maize
62,48,20,21.70181447,60.47470519,6.708446922,maize
86,37,16,20.51716779,59.21235483,5.561510732,maize
94,50,19,23.30355338,73.62548442,5.873242491,maize
76,39,24,24.2547451,55.64709899,6.995843776,maize
77,52,17,24.86374934,65.7420046,5.714799723,maize
74,39,23,22.6265115,65.77472881,6.78073637,maize
81,49,20,18.04185513,60.61494304,5.513697923,maize
63,42,21,23.26237612,72.33125523,5.798423908,maize
99,38,21,22.88330922,71.59722446,6.352471866,maize
90,52,25,25.97482359,69.36385721,6.822586546,maize
68,40,19,26.14384005,66.20569924,6.655426355,maize
60,57,24,18.66116213,61.55327249,6.121294041,maize
